16-Jun-17,0.18,,,0.25,0,218,ACTA,15,16-Jun-17,1.3,,0.6,1.55,0,5
21-Jul-17,0.5,,0.2,0.6,0,77,ACTA,15,21-Jul-17,1,,1,1.5,0,10
15-Sep-17,0.9,,0.55,1,0,113,ACTA,15,15-Sep-17,,,1.35,1.95,0,0
15-Dec-17,,,0.95,1.45,0,0,ACTA,15,15-Dec-17,,,1.7,2.3,0,0
16-Jun-17,,,5.6,6.1,0,0,ACWI,60,16-Jun-17,0.1,,,0.15,0,10
16-Jun-17,,,4.5,5.1,0,0,ACWI,61,16-Jun-17,0.15,,,0.2,0,121
16-Jun-17,2.9,,3.6,4.1,0,6,ACWI,62,16-Jun-17,0.3,,,0.2,0,95
16-Jun-17,,,2.6,3.1,0,0,ACWI,63,16-Jun-17,0.3,,,0.25,0,80
16-Jun-17,,,1.65,2.15,0,0,ACWI,64,16-Jun-17,0.55,,0.05,0.25,0,30
16-Jun-17,0.95,,0.8,1.2,0,400,ACWI,65,16-Jun-17,1,,0.2,0.4,0,3
16-Jun-17,0.43,,0.25,0.45,0,41,ACWI,66,16-Jun-17,,,0.4,0.85,0,0
16-Jun-17,,,,0.3,0,0,ACWI,67,16-Jun-17,,,1.1,1.6,0,0
16-Jun-17,,,,0.1,0,0,ACWI,68,16-Jun-17,,,2.05,2.55,0,0
16-Jun-17,,,,0.5,0,0,ACWI,69,16-Jun-17,,,3,3.8,0,0
16-Jun-17,,,,0.15,0,0,ACWI,70,16-Jun-17,,,4,4.4,0,0
16-Jun-17,,,,0.1,0,0,ACWI,71,16-Jun-17,,,4.8,5.5,0,0
16-Jun-17,,,,0.1,0,0,ACWI,72,16-Jun-17,,,5.8,6.5,0,0
21-Jul-17,3.52,,5.5,6.4,0,25,ACWI,60,21-Jul-17,1.4,,0.05,0.25,0,0
21-Jul-17,3,,4.3,5.4,0,20084,ACWI,61,21-Jul-17,0.25,,0.05,0.3,0,23024
21-Jul-17,2.3,,3.5,4.4,0,11,ACWI,62,21-Jul-17,2.17,,0.05,0.35,0,5
21-Jul-17,1.8,,2.65,3.2,0,4,ACWI,63,21-Jul-17,0.7,,0.15,0.6,0,19
21-Jul-17,,,1.7,2.25,0,0,ACWI,64,21-Jul-17,,,0.3,0.75,0,0
21-Jul-17,0.5,,0.9,1.45,0,6,ACWI,65,21-Jul-17,,,0.7,1.2,0,0
21-Jul-17,0.45,,0.3,0.7,0,20,ACWI,66,21-Jul-17,2.45,,1.15,1.7,0,50
21-Jul-17,,,0.05,0.35,0,0,ACWI,67,21-Jul-17,,,1.9,2.35,0,0
21-Jul-17,,,,0.2,0,0,ACWI,68,21-Jul-17,3.8,,2.7,3.6,0,2
21-Jul-17,,,,0.15,0,0,ACWI,69,21-Jul-17,,,3.3,4.4,0,0
21-Jul-17,,,,0.6,0,0,ACWI,70,21-Jul-17,,,4.3,5.5,0,0
21-Jul-17,,,,0.2,0,0,ACWI,71,21-Jul-17,,,5.4,6.4,0,0
21-Jul-17,,,,0.25,0,0,ACWI,72,21-Jul-17,,,6.4,7.4,0,0
20-Oct-17,,,5.4,6.4,0,0,ACWI,60,20-Oct-17,,,0.4,0.85,0,0
20-Oct-17,,,4.5,5.4,0,0,ACWI,61,20-Oct-17,1,,0.45,1,0,5
20-Oct-17,,,3.6,4.7,0,0,ACWI,62,20-Oct-17,1.23,,0.65,1.2,0,4
20-Oct-17,2.13,,3.1,3.8,0,2,ACWI,63,20-Oct-17,2.25,,0.9,1.45,0,6
20-Oct-17,1.75,,2.35,2.9,0,1,ACWI,64,20-Oct-17,,,1.25,1.7,0,0
20-Oct-17,1.4,,1.7,2.25,0,13,ACWI,65,20-Oct-17,4.3,,1.6,2.05,0,10
20-Oct-17,0.85,,1.15,1.65,0,20,ACWI,66,20-Oct-17,,,2.05,2.55,0,0
20-Oct-17,,,0.8,1.25,0,0,ACWI,67,20-Oct-17,,,2.6,3.1,0,0
20-Oct-17,,,0.45,0.85,0,0,ACWI,68,20-Oct-17,,,3.1,4,0,0
20-Oct-17,,,0.1,0.6,0,0,ACWI,69,20-Oct-17,,,3.8,4.7,0,0
20-Oct-17,,,,0.45,0,0,ACWI,70,20-Oct-17,,,4.6,5.5,0,0
20-Oct-17,,,,0.3,0,0,ACWI,71,20-Oct-17,,,4.5,6.5,0,0
20-Oct-17,,,,0.25,0,0,ACWI,72,20-Oct-17,,,4.5,9.4,0,0
19-Jan-18,,,5.6,6.7,0,0,ACWI,60,19-Jan-18,,,0.85,1.5,0,0
19-Jan-18,,,4.8,5.9,0,0,ACWI,61,19-Jan-18,,,1.15,1.7,0,0
19-Jan-18,,,4,5.1,0,0,ACWI,62,19-Jan-18,,,1.4,1.95,0,0
